Companies,URL,Total,Ted Cruz,Tommy Tuberville,Joshua Hawley,Rick Scott,Richard Shelby,"Marshall, Roger",Bill Haggerty,Marsha Blackburn,John Kennedy,Cynthia Lummis,Tom Cotton,Marco Rubio,John Barraso,Rand Paul,Tim Scott,Pat Toomey,Mike Lee,John Boozman,James Lankford,Cindy Hyde-Smith,Benjamin Sasse,Bill Cassidy,Steven Daines,John Hoeven,James Inhofe,Joni Ernst,Mike Braun,Jim Risch,Michael Crapo,Deb Fischer,Jerry Moran,John Thune,Ron Johnson,John Cornyn,Dan Sullivan,Kevin Cramer,Todd Young,Thom Tills,Roger Wicker,Roy Blunt,Shelley Moore Capito,Mitch McConnell,Chuck Grassley,Mitt Romney,Richard Burr,Mike Rounds,Rob Portman,Lindsey Graham,Lisa Murkowski,First Highest Donatee,Second Highest Donatee,Third Highest Donatee
Amgen Inc,www.amgen.com,"$617,502.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$32,005.00",$0.00,"$11,005.00",$0.00,$0.00,"$72,400.00",$0.00,"$60,743.00",$0.00,"$10,000.00",$0.00,"$25,255.00",$0.00,$0.00,"$31,500.00","$52,635.00","$13,500.00",$0.00,"$23,703.00",$0.00,$0.00,"$78,700.00",$0.00,"$25,000.00",$0.00,$0.00,"$39,450.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$33,000.00",$0.00,"$51,106.00","$26,500.00",$0.00,$0.00,$0.00,"$31,000.00",$0.00,$0.00,Michael Crapo,John Barraso,Tim Scott
Verizon Communications,www.verizon.com,"$600,881.00","$26,138.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$24,578.00",$0.00,$0.00,$0.00,"$40,588.00","$46,000.00","$11,298.00",$0.00,"$11,995.00","$21,062.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$21,566.00","$14,500.00","$18,000.00",$0.00,$0.00,$0.00,$0.00,"$20,000.00",$0.00,"$33,000.00",$0.00,"$44,203.00","$22,375.00",$0.00,$0.00,"$5,800.00","$43,725.00","$19,500.00",$0.00,"$54,695.00","$40,152.00",$0.00,"$10,000.00","$18,525.00","$22,000.00","$31,181.00",$0.00,Mitch McConnell,John Barraso,John Cornyn
Pfizer Inc,www.pfizer.com,"$576,764.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$11,025.00","$14,016.00","$26,850.00",$0.00,"$5,000.00",$0.00,"$18,959.00","$36,200.00",$0.00,"$33,049.00","$17,750.00",$0.00,$0.00,"$15,500.00",$0.00,$0.00,"$30,025.00","$22,334.00","$11,000.00",$0.00,$0.00,$0.00,$0.00,"$46,000.00","$17,000.00","$16,000.00","$46,600.00",$0.00,"$37,085.00",$0.00,$0.00,"$33,725.00",$0.00,$0.00,"$25,000.00","$17,525.00","$68,621.00",$0.00,$0.00,"$10,000.00",$0.00,"$17,500.00",$0.00,$0.00,Mitch McConnell,John Thune,Michael Crapo
CSX Corp,www.csx.com,"$571,068.00",$0.00,$0.00,$0.00,"$19,700.00","$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,281.00","$27,500.00",$0.00,$0.00,$0.00,"$25,000.00","$26,500.00",$0.00,$0.00,"$25,000.00",$0.00,$0.00,$0.00,"$15,000.00",$0.00,"$12,000.00",$0.00,$0.00,"$35,750.00","$22,500.00","$30,000.00","$25,035.00",$0.00,"$25,000.00",$0.00,"$25,100.00",$0.00,"$30,000.00","$30,000.00","$27,500.00","$46,484.00",$0.00,$0.00,"$15,000.00",$0.00,$0.00,"$37,218.00","$25,500.00",Mitch McConnell,Lindsey Graham,Deb Fischer
Rock Holdings,,"$547,085.00",$0.00,$0.00,$0.00,"$21,000.00",$0.00,"$15,600.00","$17,500.00","$36,200.00",$0.00,"$20,000.00",$0.00,$0.00,$0.00,$0.00,"$44,300.00","$26,700.00","$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$49,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$51,000.00",$0.00,"$25,400.00","$44,700.00","$20,400.00",$0.00,"$15,620.00",$0.00,$0.00,$0.00,"$32,300.00",$0.00,"$14,100.00","$47,265.00",$0.00,$0.00,$0.00,"$35,200.00","$20,800.00",$0.00,$0.00,Michael Crapo,Steven Daines,Mitch McConnell
General Motors,www.gm.com,"$544,848.00","$23,281.00",$0.00,$0.00,$0.00,"$15,000.00",$0.00,"$17,055.00",$0.00,$0.00,$0.00,$0.00,"$25,670.00","$22,825.00",$0.00,"$27,240.00",$0.00,"$17,510.00",$0.00,"$17,500.00",$0.00,"$25,500.00",$0.00,$0.00,$0.00,$0.00,"$27,436.00",$0.00,$0.00,$0.00,"$15,625.00","$28,500.00","$32,500.00",$0.00,$0.00,"$17,575.00",$0.00,"$27,947.00",$0.00,"$27,500.00","$25,000.00","$25,775.00","$37,922.00","$15,171.00",$0.00,$0.00,$0.00,"$25,000.00","$25,181.00","$22,135.00",Mitch McConnell,John Thune,Jerry Moran
National Beer Wholesalers Assn,www.nbwa.org,"$539,750.00",$0.00,$0.00,$0.00,"$22,500.00","$12,500.00","$10,000.00",$0.00,$0.00,$0.00,"$10,000.00",$0.00,$0.00,"$37,500.00",$0.00,$0.00,$0.00,"$35,000.00","$15,250.00",$0.00,"$20,000.00","$17,500.00","$25,000.00","$25,000.00",$0.00,"$25,000.00",$0.00,"$15,000.00","$15,000.00","$20,000.00","$19,000.00","$20,000.00","$27,500.00","$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,000.00","$27,500.00","$37,500.00","$25,000.00",$0.00,"$10,500.00","$12,500.00",$0.00,$0.00,"$15,000.00",John Barraso,John Barraso,Mike Lee
NCTA The Internet & Television Assn,www.ncta.com,"$535,600.00","$22,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$26,600.00",$0.00,$0.00,$0.00,$0.00,"$28,000.00",$0.00,$0.00,$0.00,"$30,000.00","$13,500.00",$0.00,$0.00,"$15,000.00",$0.00,"$27,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$41,000.00","$35,250.00","$37,500.00","$25,000.00","$35,000.00","$34,250.00",$0.00,"$20,000.00",$0.00,"$35,000.00","$30,000.00","$22,000.00","$40,000.00","$17,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Deb Fischer,Mitch McConnell,John Thune
General Atomics,www.ga.com,"$509,774.00",$0.00,$0.00,$0.00,$0.00,"$24,000.00",$0.00,$0.00,$0.00,$0.00,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$51,550.00",$0.00,"$67,325.00",$0.00,$0.00,$0.00,"$26,800.00","$17,500.00",$0.00,$0.00,"$52,600.00",$0.00,$0.00,"$42,100.00",$0.00,$0.00,"$58,550.00","$46,750.00","$23,400.00",$0.00,$0.00,"$55,150.00",$0.00,$0.00,$0.00,$0.00,"$14,300.00",$0.00,$0.00,$0.00,"$24,749.00",$0.00,Cindy Hyde-Smith,John Cornyn,Roger Wicker
Norfolk Southern,www.nscorp.com,"$505,253.00",$0.00,$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,"$25,000.00",$0.00,$0.00,$0.00,"$27,500.00","$40,000.00",$0.00,$0.00,$0.00,"$25,000.00","$18,500.00",$0.00,$0.00,"$30,050.00",$0.00,$0.00,"$17,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$25,000.00","$25,000.00","$35,000.00","$25,000.00",$0.00,"$25,000.00",$0.00,"$25,000.00",$0.00,"$20,000.00","$35,000.00","$37,500.00",$0.00,$0.00,$0.00,"$20,500.00",$0.00,$0.00,"$33,703.00",$0.00,John Barraso,Shelley Moore Capito,John Thune
ClearPath Foundation,www.clearpath.org,"$497,422.00",$0.00,$0.00,$0.00,$0.00,"$45,000.00",$0.00,$0.00,$0.00,"$37,400.00",$0.00,$0.00,$0.00,"$52,700.00",$0.00,$0.00,$0.00,"$17,900.00","$26,200.00",$0.00,$0.00,$0.00,"$48,122.00",$0.00,"$45,800.00",$0.00,$0.00,"$25,800.00",$0.00,"$51,200.00",$0.00,$0.00,$0.00,$0.00,"$36,200.00",$0.00,"$18,100.00",$0.00,"$5,800.00",$0.00,"$15,600.00","$20,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$50,800.00",John Barraso,Michael Crapo,Lisa Murkowski
AFLAC Inc,www.aflacgroupinsurance.com,"$494,617.00",$0.00,$0.00,$0.00,$0.00,"$15,000.00",$0.00,"$29,300.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$21,500.00",$0.00,"$45,677.00","$17,500.00",$0.00,"$21,000.00",$0.00,$0.00,"$22,500.00",$0.00,"$23,155.00",$0.00,$0.00,$0.00,$0.00,"$11,000.00","$27,000.00","$52,550.00","$20,000.00","$42,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$13,000.00","$41,422.00","$30,513.00",$0.00,"$10,000.00","$18,500.00","$32,500.00",$0.00,$0.00,Deb Fischer,Tim Scott,John Thune
Walmart Inc,www.walmart.com,"$489,182.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$35,059.00","$32,853.00",$0.00,"$40,444.00",$0.00,$0.00,"$41,587.00","$17,045.00",$0.00,$0.00,$0.00,"$26,728.00",$0.00,$0.00,"$24,473.00",$0.00,$0.00,$0.00,$0.00,"$22,780.00","$29,138.00",$0.00,"$36,352.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$20,002.00","$13,535.00","$59,590.00",$0.00,$0.00,"$5,500.00","$16,610.00",$0.00,"$38,619.00","$28,867.00",Mitch McConnell,John Boozman,Tim Scott
CVS Health,www.cvshealth.com,"$480,344.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$11,580.00","$14,175.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$48,430.00",$0.00,"$32,229.00","$16,260.00","$12,575.00",$0.00,"$14,500.00",$0.00,$0.00,$0.00,"$24,386.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$31,006.00",$0.00,$0.00,"$30,050.00",$0.00,"$43,551.00",$0.00,$0.00,"$31,833.00",$0.00,$0.00,"$45,000.00",$0.00,"$54,664.00","$24,055.00",$0.00,"$11,000.00",$0.00,"$35,050.00",$0.00,$0.00,Mitch McConnell,John Barraso,Roy Blunt
American Hotel & Lodging Assn,www.americanhotel.com,"$476,000.00",$0.00,$0.00,$0.00,$0.00,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,000.00","$32,500.00",$0.00,$0.00,$0.00,$0.00,"$17,500.00",$0.00,"$15,000.00",$0.00,$0.00,"$30,000.00",$0.00,$0.00,"$25,000.00",$0.00,$0.00,$0.00,"$25,000.00","$20,000.00","$30,000.00","$20,000.00","$37,500.00",$0.00,$0.00,"$20,000.00",$0.00,"$30,000.00","$22,500.00","$15,000.00","$35,000.00",$0.00,$0.00,"$6,000.00","$30,000.00",$0.00,"$30,000.00",$0.00,John Cornyn,Mitch McConnell,John Barraso
Automotive Free International Trade PAC,www.afitpac.com,"$465,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,"$5,000.00","$25,000.00",$0.00,"$35,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,"$20,000.00","$25,000.00","$20,000.00",$0.00,$0.00,"$10,000.00","$30,000.00","$15,000.00","$25,000.00","$30,000.00",$0.00,"$35,000.00",$0.00,$0.00,"$20,000.00",$0.00,$0.00,$0.00,"$15,000.00","$35,000.00","$25,000.00",$0.00,"$20,000.00",$0.00,"$20,000.00",$0.00,"$25,000.00",John Barraso,John Barraso,John Barraso
Boeing Co,www.boeing.com,"$463,202.00","$35,140.00","$2,904.00","$17,665.00",$0.00,"$88,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$35,501.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$23,534.00",$0.00,"$39,120.00",$0.00,$0.00,"$17,610.00",$0.00,$0.00,"$17,520.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00","$25,137.00",$0.00,"$41,635.00","$12,361.00",$0.00,"$12,000.00","$16,665.00",$0.00,"$58,410.00",$0.00,Richard Shelby,Lindsey Graham,Mitch McConnell
BGR Group,www.bgrdc.com,"$462,573.00",$0.00,$0.00,$0.00,"$24,810.00",$0.00,$0.00,"$20,700.00","$20,800.00",$0.00,$0.00,$0.00,"$37,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,358.00",$0.00,"$20,000.00","$27,275.00",$0.00,$0.00,"$26,300.00",$0.00,"$19,900.00",$0.00,"$18,962.00",$0.00,"$36,100.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$120,768.00",$0.00,$0.00,"$42,900.00",$0.00,$0.00,"$9,200.00",$0.00,$0.00,$0.00,$0.00,Roger Wicker,Mitch McConnell,Marco Rubio
T-Mobile USA,www.t-mobile.com,"$460,643.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$32,025.00",$0.00,$0.00,$0.00,$0.00,"$27,500.00",$0.00,$0.00,$0.00,"$33,500.00",$0.00,"$12,500.00",$0.00,"$17,025.00",$0.00,"$37,040.00",$0.00,"$19,500.00",$0.00,$0.00,$0.00,"$30,000.00","$28,000.00","$30,500.00","$39,000.00","$12,035.00",$0.00,"$19,508.00",$0.00,$0.00,$0.00,"$37,000.00","$39,000.00","$17,510.00",$0.00,$0.00,$0.00,"$8,000.00",$0.00,"$21,000.00",$0.00,$0.00,John Thune,John Thune,Steven Daines
Southern Co,www.southerncompany.com,"$459,059.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$12,525.00","$16,025.00","$20,085.00",$0.00,"$7,560.00",$0.00,"$21,914.00","$31,015.00",$0.00,$0.00,$0.00,"$10,050.00",$0.00,$0.00,"$31,415.00","$17,520.00",$0.00,"$32,390.00",$0.00,"$15,015.00",$0.00,$0.00,"$35,025.00",$0.00,"$18,000.00",$0.00,"$25,005.00",$0.00,$0.00,$0.00,$0.00,"$19,040.00",$0.00,"$27,655.00",$0.00,$0.00,"$39,456.00",$0.00,$0.00,"$14,000.00",$0.00,$0.00,"$36,814.00","$28,550.00",Mitch McConnell,Lindsey Graham,Jim Risch
Merck & Co,www.sigmaaldrich.com,"$457,421.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,500.00",$0.00,"$30,626.00","$16,355.00",$0.00,$0.00,"$14,500.00",$0.00,"$14,070.00","$22,060.00","$20,816.00","$10,000.00",$0.00,"$23,323.00",$0.00,$0.00,"$32,500.00","$20,500.00","$20,000.00","$40,000.00",$0.00,"$40,145.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00","$12,750.00","$43,276.00",$0.00,$0.00,"$20,000.00",$0.00,"$19,000.00",$0.00,$0.00,Mitch McConnell,John Cornyn,John Thune
Marathon Petroleum,www.marathonpetroleum.com,"$447,793.00",$0.00,$0.00,"$22,500.00",$0.00,$0.00,"$10,000.00",$0.00,"$30,010.00","$25,433.00","$5,000.00",$0.00,$0.00,"$32,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$13,500.00","$17,500.00",$0.00,$0.00,$0.00,$0.00,"$35,000.00",$0.00,"$17,500.00","$10,000.00",$0.00,$0.00,$0.00,"$25,000.00",$0.00,"$56,913.00","$15,902.00","$27,500.00","$18,525.00",$0.00,"$20,000.00",$0.00,"$20,000.00",$0.00,$0.00,$0.00,$0.00,"$20,000.00","$25,010.00",$0.00,$0.00,John Cornyn,James Inhofe,John Barraso
General Electric,www.ge.com,"$443,129.00",$0.00,$0.00,$0.00,$0.00,"$17,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$21,525.00",$0.00,"$24,567.00","$24,475.00",$0.00,$0.00,"$15,500.00",$0.00,$0.00,$0.00,"$28,210.00",$0.00,"$38,800.00",$0.00,$0.00,$0.00,"$20,500.00",$0.00,"$19,500.00","$26,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$31,700.00",$0.00,"$48,942.00","$22,035.00",$0.00,"$8,500.00",$0.00,"$37,517.00","$36,858.00","$20,500.00",Mitch McConnell,James Inhofe,Rob Portman
National Assn of Real Estate Investment Trusts,www.reit.com,"$442,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$36,000.00",$0.00,"$35,000.00","$21,000.00",$0.00,"$15,000.00","$18,500.00",$0.00,"$17,000.00","$30,000.00","$22,750.00","$10,500.00",$0.00,$0.00,$0.00,$0.00,"$35,000.00",$0.00,"$27,500.00","$25,000.00",$0.00,$0.00,$0.00,$0.00,"$26,000.00",$0.00,$0.00,"$20,000.00",$0.00,$0.00,"$41,900.00","$15,000.00","$21,000.00",$0.00,"$25,000.00",$0.00,$0.00,Chuck Grassley,John Barraso,Tim Scott
National Assn of Convenience Stores,www.convenience.org,"$436,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00",$0.00,"$25,000.00",$0.00,"$20,000.00","$33,500.00",$0.00,"$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$22,500.00","$20,000.00","$22,500.00","$27,500.00",$0.00,$0.00,$0.00,"$27,500.00","$20,000.00","$35,000.00","$17,500.00",$0.00,$0.00,"$15,000.00","$20,000.00",$0.00,$0.00,"$20,000.00",$0.00,$0.00,"$20,000.00",$0.00,"$15,000.00",$0.00,$0.00,$0.00,"$25,000.00",John Thune,John Barraso,Tim Scott
Wells Fargo,www.wellsfargo.com,"$427,532.00",$0.00,$0.00,"$23,079.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,500.00","$21,321.00","$30,323.00","$26,565.00",$0.00,"$32,533.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$14,650.00",$0.00,"$39,576.00",$0.00,$0.00,"$37,942.00","$16,475.00",$0.00,$0.00,$0.00,"$19,280.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$39,770.00","$16,063.00","$10,935.00",$0.00,"$19,285.00",$0.00,"$49,960.00","$22,275.00",Lindsey Graham,Mitch McConnell,Steven Daines
DaVita Inc,www.davita.com,"$426,864.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,750.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$11,695.00",$0.00,"$14,025.00",$0.00,"$22,000.00",$0.00,$0.00,"$14,000.00","$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$29,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$66,600.00","$95,400.00",$0.00,"$17,000.00","$17,000.00",$0.00,"$64,394.00","$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Todd Young,Kevin Cramer,Mitch McConnell
Abbott Laboratories,www.cardiovascular.abbott,"$420,462.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,945.00","$40,000.00",$0.00,"$42,420.00","$18,500.00",$0.00,"$31,357.00","$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,500.00",$0.00,"$22,525.00","$18,330.00",$0.00,"$35,000.00",$0.00,$0.00,$0.00,$0.00,"$29,002.00",$0.00,$0.00,"$20,000.00",$0.00,"$39,095.00",$0.00,"$15,000.00","$32,288.00",$0.00,"$23,500.00",$0.00,$0.00,Tim Scott,John Barraso,Mitch McConnell
"Akin, Gump et al",www.akingump.com,"$412,349.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$14,500.00","$20,300.00","$46,395.00",$0.00,$0.00,"$33,275.00",$0.00,$0.00,"$13,250.00",$0.00,$0.00,$0.00,$0.00,"$21,770.00",$0.00,"$19,750.00",$0.00,$0.00,$0.00,$0.00,"$16,500.00",$0.00,"$49,000.00",$0.00,"$64,949.00",$0.00,$0.00,"$22,565.00",$0.00,"$23,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$12,850.00","$30,300.00","$23,445.00",$0.00,John Cornyn,John Thune,Marco Rubio
GEO Group,www.geogroup.com,"$410,897.00",$0.00,$0.00,$0.00,"$80,425.00","$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$74,625.00",$0.00,$0.00,$0.00,$0.00,"$30,043.00",$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$34,000.00",$0.00,$0.00,"$53,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$51,000.00","$62,204.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Rick Scott,Marco Rubio,Mitch McConnell
Council of Insurance Agents & Brokers,www.ciab.com,"$405,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$11,000.00",$0.00,$0.00,$0.00,"$5,000.00",$0.00,$0.00,$0.00,$0.00,"$27,500.00","$19,000.00",$0.00,"$13,500.00",$0.00,"$20,000.00","$28,500.00",$0.00,"$27,000.00",$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,"$24,000.00","$25,000.00","$40,000.00",$0.00,$0.00,$0.00,"$24,000.00","$25,000.00",$0.00,"$36,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$21,500.00","$18,000.00",$0.00,"$25,000.00",John Thune,Roger Wicker,Benjamin Sasse
PNC Financial Services,www.pncfinancialservices.com,"$400,310.00",$0.00,$0.00,$0.00,$0.00,"$30,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$25,543.00","$45,552.00",$0.00,$0.00,"$47,935.00","$64,780.00",$0.00,"$12,500.00",$0.00,$0.00,"$36,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$61,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$14,500.00",$0.00,"$5,000.00",$0.00,$0.00,"$15,000.00",$0.00,$0.00,$0.00,$0.00,"$42,500.00",$0.00,$0.00,$0.00,Pat Toomey,Michael Crapo,Tim Scott
Pinnacle West Capital,www.pinnaclewest.com,"$398,081.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,000.00",$0.00,$0.00,"$79,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$22,500.00",$0.00,$0.00,$0.00,$0.00,"$25,000.00","$21,000.00",$0.00,$0.00,"$19,000.00",$0.00,$0.00,$0.00,"$25,000.00",$0.00,$0.00,"$30,300.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,000.00","$15,000.00","$26,000.00","$32,431.00","$47,250.00",John Barraso,Lisa Murkowski,Lindsey Graham
KKR & Co,www.kkr.com,"$397,650.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,010.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$33,010.00",$0.00,$0.00,$0.00,$0.00,"$59,445.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$125,215.00",$0.00,$0.00,$0.00,$0.00,"$24,535.00",$0.00,$0.00,"$94,325.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$44,110.00",John Cornyn,Mitch McConnell,Bill Cassidy
National Auto Dealers Assn,www.nada.org,"$395,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$10,000.00",$0.00,$0.00,$0.00,"$5,000.00",$0.00,$0.00,"$25,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00",$0.00,$0.00,"$35,000.00",$0.00,"$17,500.00",$0.00,$0.00,"$10,000.00","$25,000.00",$0.00,"$27,500.00","$25,000.00",$0.00,"$40,000.00",$0.00,$0.00,$0.00,$0.00,"$30,000.00",$0.00,"$35,000.00","$35,000.00","$30,000.00",$0.00,$0.00,$0.00,"$25,000.00",$0.00,$0.00,John Cornyn,Steven Daines,Steven Daines
Google Inc,www.abc.xyz,"$393,713.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$27,000.00","$12,750.00","$28,263.00","$17,500.00",$0.00,"$12,500.00",$0.00,$0.00,"$31,475.00",$0.00,$0.00,$0.00,"$17,500.00",$0.00,$0.00,"$24,000.00","$21,000.00","$14,000.00","$23,500.00","$29,900.00",$0.00,$0.00,"$15,400.00",$0.00,$0.00,$0.00,"$26,200.00",$0.00,"$25,075.00",$0.00,$0.00,$0.00,"$10,250.00",$0.00,"$23,000.00",$0.00,"$34,400.00",Lisa Murkowski,Benjamin Sasse,John Thune
Republican Jewish Coalition,www.rjchq.org,"$388,011.00","$42,474.00",$0.00,"$19,625.00","$27,490.00",$0.00,$0.00,$0.00,"$20,961.00",$0.00,$0.00,$0.00,"$29,407.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$62,058.00",$0.00,$0.00,"$31,752.00","$15,850.00","$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,600.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$110,794.00",$0.00,Lindsey Graham,Steven Daines,Ted Cruz
International Paper,www.internationalpaper.com,"$379,705.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$42,000.00","$26,425.00",$0.00,$0.00,$0.00,$0.00,"$30,000.00",$0.00,$0.00,$0.00,$0.00,"$17,500.00","$22,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$39,000.00",$0.00,"$12,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$40,175.00",$0.00,$0.00,$0.00,$0.00,"$25,000.00",$0.00,"$15,000.00","$35,475.00",$0.00,$0.00,"$7,500.00",$0.00,"$25,000.00","$23,830.00","$17,500.00",Bill Haggerty,John Cornyn,James Inhofe
Air Line Pilots Assn,www.alpa.org,"$378,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,$0.00,"$5,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$13,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$28,500.00","$27,000.00","$20,000.00",$0.00,$0.00,$0.00,$0.00,"$31,000.00","$29,000.00","$26,000.00",$0.00,$0.00,"$25,000.00",$0.00,"$35,000.00",$0.00,"$32,000.00","$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$22,500.00","$25,000.00",$0.00,"$24,500.00",Todd Young,Roger Wicker,Deb Fischer
1st Financial Bank USA,www.1fbusa.com,"$369,154.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$16,435.00",$0.00,"$16,625.00",$0.00,$0.00,$0.00,"$30,600.00",$0.00,$0.00,$0.00,$0.00,"$23,366.00",$0.00,$0.00,"$15,800.00","$30,800.00",$0.00,$0.00,$0.00,"$31,250.00",$0.00,"$26,400.00","$25,600.00","$30,964.00","$16,400.00","$35,700.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$5,950.00","$26,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$21,664.00","$15,600.00",$0.00,$0.00,$0.00,John Thune,Joni Ernst,Deb Fischer
